axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi,backbone,probe,seed
power_line,30,canonicalized,0.90127,0.822857,0.057157,276,0.860634,0.938258,biot,mlp,13
power_line,30,naive,0.63963,0.5,0.543476,276,0.577243,0.710011,biot,mlp,13
power_line,5,canonicalized,0.901376,0.822857,0.057042,276,0.860845,0.937901,biot,mlp,13
power_line,5,naive,0.661852,0.5,0.542102,276,0.597985,0.728151,biot,mlp,13
power_line,60,canonicalized,0.900741,0.819524,0.057331,276,0.860209,0.937888,biot,mlp,13
power_line,60,naive,0.626296,0.5,0.543478,276,0.56137,0.701914,biot,mlp,13
sampling_rate,128,canonicalized,0.64455,0.5,0.532313,276,0.579889,0.706493,biot,mlp,13
sampling_rate,128,naive,0.610265,0.597143,0.324092,276,0.546485,0.675981,biot,mlp,13
sampling_rate,200,canonicalized,0.898783,0.811429,0.076191,276,0.859033,0.935403,biot,mlp,13
sampling_rate,200,naive,0.832646,0.76746,0.099646,276,0.783332,0.882569,biot,mlp,13
sampling_rate,250,canonicalized,0.901323,0.822857,0.056995,276,0.860787,0.93789,biot,mlp,13
sampling_rate,250,naive,0.901323,0.822857,0.056995,276,0.860787,0.93789,biot,mlp,13
sampling_rate,256,canonicalized,0.90127,0.822857,0.056784,276,0.860472,0.937788,biot,mlp,13
sampling_rate,256,naive,0.900212,0.839365,0.086699,276,0.860316,0.936669,biot,mlp,13
sampling_rate,512,canonicalized,0.901164,0.822857,0.056898,276,0.860528,0.937684,biot,mlp,13
sampling_rate,512,naive,0.402646,0.5,0.542579,276,0.334704,0.464525,biot,mlp,13
broadband,-5,canonicalized,0.663386,0.5,0.335048,276,0.598712,0.72505,biot,mlp,7
broadband,-5,naive,0.663386,0.5,0.335048,276,0.598712,0.72505,biot,mlp,7
broadband,0,canonicalized,0.768254,0.5,0.32573,276,0.711956,0.817795,biot,mlp,7
broadband,0,naive,0.768254,0.5,0.32573,276,0.711956,0.817795,biot,mlp,7
broadband,10,canonicalized,0.833175,0.563333,0.289261,276,0.782952,0.877993,biot,mlp,7
broadband,10,naive,0.833175,0.563333,0.289261,276,0.782952,0.877993,biot,mlp,7
broadband,20,canonicalized,0.842646,0.676349,0.163547,276,0.793173,0.885508,biot,mlp,7
broadband,20,naive,0.842646,0.676349,0.163547,276,0.793173,0.885508,biot,mlp,7
broadband,5,canonicalized,0.797354,0.52,0.305282,276,0.74623,0.847041,biot,mlp,7
broadband,5,naive,0.797354,0.52,0.305282,276,0.74623,0.847041,biot,mlp,7
calibration,0.5,canonicalized,0.90127,0.833968,0.06776,276,0.860517,0.936779,biot,mlp,7
calibration,0.5,naive,0.836772,0.591429,0.333427,276,0.789937,0.883074,biot,mlp,7
calibration,0.75,canonicalized,0.90127,0.833968,0.06776,276,0.860517,0.936779,biot,mlp,7
calibration,0.75,naive,0.848942,0.695714,0.201418,276,0.801988,0.891323,biot,mlp,7
calibration,1,canonicalized,0.90127,0.833968,0.06776,276,0.860517,0.936779,biot,mlp,7
calibration,1,naive,0.865608,0.76254,0.122802,276,0.820774,0.908635,biot,mlp,7
calibration,1.5,canonicalized,0.90127,0.833968,0.06776,276,0.860517,0.936779,biot,mlp,7
calibration,1.5,naive,0.869788,0.760635,0.114979,276,0.825751,0.910854,biot,mlp,7
calibration,2,canonicalized,0.90127,0.833968,0.06776,276,0.860517,0.936779,biot,mlp,7
calibration,2,naive,0.850847,0.721587,0.207051,276,0.804921,0.893086,biot,mlp,7
montage,bipolar18,canonicalized,0.880053,0.816667,0.084177,276,0.839946,0.919157,biot,mlp,7
montage,bipolar18,naive,0.87836,0.813333,0.087012,276,0.837344,0.918787,biot,mlp,7
montage,full19,canonicalized,0.90127,0.833968,0.06776,276,0.860517,0.936779,biot,mlp,7
montage,full19,naive,0.90127,0.833968,0.06776,276,0.860517,0.936779,biot,mlp,7
montage,legacy16,canonicalized,0.866561,0.542698,0.380645,276,0.823589,0.909493,biot,mlp,7
montage,legacy16,naive,0.873598,0.542698,0.385535,276,0.82962,0.913869,biot,mlp,7
power_line,0,canonicalized,0.90127,0.833968,0.06776,276,0.860517,0.936779,biot,mlp,7
power_line,0,naive,0.853122,0.676825,0.275663,276,0.803173,0.898266,biot,mlp,7
power_line,15,canonicalized,0.901323,0.833968,0.065715,276,0.860316,0.936725,biot,mlp,7
power_line,15,naive,0.633016,0.5,0.543468,276,0.570476,0.701189,biot,mlp,7
power_line,30,canonicalized,0.90127,0.833968,0.067886,276,0.860316,0.936724,biot,mlp,7
power_line,30,naive,0.645767,0.5,0.543476,276,0.579515,0.716142,biot,mlp,7
power_line,5,canonicalized,0.901217,0.833968,0.065633,276,0.860464,0.936573,biot,mlp,7
power_line,5,naive,0.656032,0.5,0.543002,276,0.592646,0.72355,biot,mlp,7
power_line,60,canonicalized,0.900952,0.833968,0.070578,276,0.860316,0.936402,biot,mlp,7
power_line,60,naive,0.628201,0.5,0.543478,276,0.562222,0.703448,biot,mlp,7
sampling_rate,128,canonicalized,0.666085,0.499365,0.487932,276,0.602906,0.726001,biot,mlp,7
sampling_rate,128,naive,0.560582,0.554603,0.314754,276,0.493056,0.624821,biot,mlp,7
sampling_rate,200,canonicalized,0.893757,0.805873,0.114976,276,0.851373,0.93,biot,mlp,7
sampling_rate,200,naive,0.853862,0.791905,0.075985,276,0.806136,0.898418,biot,mlp,7
sampling_rate,250,canonicalized,0.90127,0.833968,0.06776,276,0.860517,0.936779,biot,mlp,7
sampling_rate,250,naive,0.90127,0.833968,0.06776,276,0.860517,0.936779,biot,mlp,7
sampling_rate,256,canonicalized,0.900952,0.833968,0.064829,276,0.859947,0.936667,biot,mlp,7
sampling_rate,256,naive,0.895503,0.819841,0.132904,276,0.851056,0.932915,biot,mlp,7
sampling_rate,512,canonicalized,0.901217,0.833968,0.065328,276,0.860414,0.936779,biot,mlp,7
sampling_rate,512,naive,0.405926,0.5,0.539998,276,0.335542,0.465566,biot,mlp,7
bandwidth,100,canonicalized,0.886243,0.822381,0.07352,276,0.844331,0.92355,eegpt,linear,7
bandwidth,15,canonicalized,0.876402,0.775397,0.145956,276,0.831983,0.916369,eegpt,linear,7
bandwidth,20,canonicalized,0.891164,0.833968,0.110344,276,0.850524,0.928254,eegpt,linear,7
bandwidth,25,canonicalized,0.89418,0.818254,0.076993,276,0.853078,0.932067,eegpt,linear,7
bandwidth,30,canonicalized,0.895344,0.810317,0.088663,276,0.854016,0.932284,eegpt,linear,7
bandwidth,40,canonicalized,0.89619,0.826984,0.062107,276,0.85523,0.93161,eegpt,linear,7
bandwidth,50,canonicalized,0.895026,0.826349,0.054672,276,0.854276,0.931272,eegpt,linear,7
bandwidth,64,canonicalized,0.891376,0.833651,0.068651,276,0.849983,0.927623,eegpt,linear,7
bandwidth,80,canonicalized,0.889577,0.819048,0.065642,276,0.848536,0.925725,eegpt,linear,7
bandwidth,100,canonicalized,0.894127,0.806984,0.06872,276,0.854276,0.928947,eegpt,mlp,11
bandwidth,15,canonicalized,0.899471,0.734921,0.225844,276,0.860258,0.931959,eegpt,mlp,11
bandwidth,20,canonicalized,0.895873,0.791905,0.119693,276,0.857718,0.929689,eegpt,mlp,11
bandwidth,25,canonicalized,0.896455,0.824762,0.077302,276,0.858501,0.930214,eegpt,mlp,11
bandwidth,30,canonicalized,0.898783,0.815556,0.041972,276,0.860783,0.932332,eegpt,mlp,11
bandwidth,40,canonicalized,0.899683,0.820952,0.052624,276,0.862104,0.932594,eegpt,mlp,11
bandwidth,50,canonicalized,0.90037,0.816349,0.052627,276,0.862632,0.93344,eegpt,mlp,11
bandwidth,64,canonicalized,0.893122,0.802222,0.065734,276,0.85206,0.92806,eegpt,mlp,11
bandwidth,80,canonicalized,0.892381,0.792222,0.065796,276,0.851848,0.927411,eegpt,mlp,11
bandwidth,100,canonicalized,0.902434,0.832698,0.060263,276,0.864492,0.93678,eegpt,mlp,13
bandwidth,15,canonicalized,0.900265,0.628095,0.328961,276,0.861054,0.934393,eegpt,mlp,13
bandwidth,20,canonicalized,0.901534,0.812381,0.144438,276,0.862903,0.934709,eegpt,mlp,13
bandwidth,25,canonicalized,0.904286,0.819365,0.06748,276,0.867136,0.936774,eegpt,mlp,13
bandwidth,30,canonicalized,0.904921,0.824762,0.04879,276,0.867353,0.937515,eegpt,mlp,13
bandwidth,40,canonicalized,0.905132,0.830794,0.042201,276,0.867831,0.937254,eegpt,mlp,13
bandwidth,50,canonicalized,0.905767,0.830794,0.043439,276,0.868611,0.936993,eegpt,mlp,13
bandwidth,64,canonicalized,0.902857,0.82873,0.065023,276,0.864488,0.935452,eegpt,mlp,13
bandwidth,80,canonicalized,0.902434,0.832698,0.069207,276,0.864284,0.935663,eegpt,mlp,13
bandwidth,100,canonicalized,0.903492,0.815714,0.122972,276,0.8675,0.935243,eegpt,mlp,7
bandwidth,15,canonicalized,0.901164,0.59873,0.377991,276,0.86232,0.934454,eegpt,mlp,7
bandwidth,20,canonicalized,0.90037,0.724921,0.226314,276,0.861419,0.933337,eegpt,mlp,7
bandwidth,25,canonicalized,0.901799,0.786349,0.150893,276,0.863492,0.934663,eegpt,mlp,7
